umls_cui,kg_disease_id
C0588233,
C0042023,
C1960643,
C0040921,MONDO_0002154
C2919522,
C0034686,MONDO_0006941
C0005697,
C1318973,MONDO_0005545
C0018801,MONDO_0005252
C0393664,
C0267509,
C0038436,MONDO_0005146
C2711180,
C0023479,MONDO_0018871
C0342753,MONDO_0018485
C0456107,
C0006309,MONDO_0005683
C0242429,
C0162568,MONDO_0001676
C0343192,
C1621958,
C0014179,MONDO_0000918
C0001622,MONDO_0006640
C0021141,MONDO_0006802
C3875321,MONDO_0002406
C0008350,MONDO_0012672
C1562430,
C0006266,
C0221392,
C0701163,
C0007102,MONDO_0021063
C0085649,
C0878773,MONDO_0006624
C0011608,MONDO_0015614
C5686210,
C0038220,
C0038363,MONDO_0004845
C0749424,MONDO_0011836
C0034069,MONDO_0002771
C0276180,MONDO_0002594
C0030568,MONDO_0001945
C1527407,MONDO_0005749
C0024449,MONDO_0016823
C0085606,
C0029396,
C0020683,
C2063075,
C0546981,
C0347001,
C0025294,MONDO_0018059
C0021931,
C0740447,
C0231403,
C0153225,
C1112486,MONDO_0020333
C1960764,
C3163939,
C0031572,MONDO_0001247
C0150045,
C0004096,MONDO_0004979
C0339507,
C0303920,
C0040127,MONDO_0006996
C0854215,MONDO_0041825
C0041648,
C0020443,
C0156393,
C0027424,
C0274726,
C3150773,MONDO_0013296
C0162565,MONDO_0008294
C0018834,
C0042109,MONDO_0005492
C0276226,MONDO_0012521
C0203110,
C0687148,
C0024305,MONDO_0018908
C0029443,MONDO_0005246
C0268490,MONDO_0010161
C0001126,MONDO_0001909
C0276500,
C4551529,
C2733595,
C0020473,MONDO_0021187
C0854467,
C0153256,
C0860594,
C0206698,MONDO_0019087
C0021390,MONDO_0005265
C0006444,MONDO_0002471
C0020542,MONDO_0005149
C0029442,MONDO_0001068
C0029967,
C0040185,
C0948089,MONDO_0005542
C0520777,
C0342881,MONDO_0018328
C0020550,MONDO_0004425
C0042571,
C0035235,MONDO_0001577
C0039520,MONDO_0004855
C0019917,MONDO_0005800
C0856695,
C0020514,MONDO_0005804
C0005699,MONDO_0006115
C0031099,MONDO_0005076
C0034886,
C0022081,MONDO_0006814
C0008325,MONDO_0002155
C0002880,MONDO_0020108
C0238463,MONDO_0005075
C0238080,
C0343402,
C0039128,MONDO_0005976
C0342827,
C0152030,
C0036472,MONDO_0019365
C0855095,
C0271152,
C0041351,MONDO_0018077
C0043144,
C3160898,
C0010930,MONDO_0004926
C0579142,
C0005741,MONDO_0004785
C0155866,MONDO_0016595
C0025306,MONDO_0042972
C0033581,MONDO_0005280
C0917799,MONDO_0005466
C0271932,
C0043352,
C0220636,MONDO_0004669
C0392190,
C2937225,MONDO_0020699
C1328504,MONDO_0850353
C0004943,MONDO_0007191
C0032305,
C1261256,
C0026393,MONDO_0005855
C0002390,MONDO_0017853
C0038166,
C0002438,MONDO_0005644
C0041909,
C0730607,
C0404328,
C0032533,MONDO_0019735
C0043250,
C0026948,MONDO_0009691
C1998329,
C0573789,
C0032617,
C0686068,
C0393735,MONDO_0021146
C1274470,
C0034155,MONDO_0018896
C0008533,MONDO_0010604
C0242855,
C0271623,MONDO_0018555
C0040517,MONDO_0007661
C1260917,
C1562543,
C0003962,
C0001206,MONDO_0019933
C2349530,
C1531702,
C0007129,MONDO_0019210
C0264515,
C0036830,MONDO_0043789
C0008149,
C0023487,MONDO_0012883
C0349543,MONDO_0002501
C3661921,
C2887096,
C1384606,
C0178299,
C0338908,MONDO_0041086
C0031350,MONDO_0002258
C0458053,
C3163829,
C0041466,MONDO_0005619
C0153467,MONDO_0002087
C0021603,MONDO_0024376
C0006118,MONDO_0021211
C0023449,MONDO_0004967
C0684256,
C0032460,MONDO_0008487
C0198813,
C0007134,MONDO_0005086
C0275982,
C2937222,
C0419527,
C0342751,
C0152945,MONDO_0001701
C0001815,MONDO_0009692
C5203670,MONDO_0100096
C0206141,MONDO_0011895
C0268542,MONDO_0010703
C1275126,MONDO_0007727
C0282193,
C3839956,
C0023886,
C0555198,MONDO_0100342
C0038325,MONDO_0018229
C0085612,
C1142085,
C0153216,MONDO_0041903
C0033845,MONDO_0009468
C0345904,MONDO_0002691
C0019112,MONDO_0004872
C0043117,
C1997322,
C0581377,
C0339317,MONDO_0017634
C0268312,MONDO_0015762
C0276754,
C0024591,MONDO_0018493
C0343055,MONDO_0100491
C0269398,
C1328252,MONDO_0005859
C0010543,
C0936215,
C0342985,
C0278701,MONDO_0005036
C0019342,MONDO_0005770
C0275804,
C0600041,
C0271093,MONDO_0019353
C0007137,MONDO_0005096
C0035597,MONDO_0019360
C0015333,
C0042875,
C0023480,MONDO_0020311
C0006105,
C0009773,MONDO_0002313
C1282500,MONDO_0041448
C0220756,MONDO_0018982
C0334579,MONDO_0016684
C4542821,
C0700589,
C0033300,MONDO_0008310
C1272017,
C0028242,MONDO_0017776
C0007780,
C0877445,MONDO_0044070
C0334296,
C0178416,
C0149911,MONDO_0043455
C3665605,
C0279626,MONDO_0005580
C0002892,MONDO_0008228
C0275652,
C0014877,MONDO_0004896
C0494475,
C1260915,MONDO_0040923
C2316460,
C0026718,
C0085436,MONDO_0005723
C0006849,MONDO_0005886
C1692317,
C1955629,MONDO_0027029
C1318955,
C0235238,MONDO_0005555
C0275566,
C0269050,MONDO_0042451
C0030920,MONDO_0004247
C5191640,
C1277289,
C0010232,MONDO_0005720
C0027498,
C0272199,MONDO_0015541
C0004031,
C0238397,
C0577710,
C0020626,MONDO_0001220
C0276026,
C0349506,MONDO_0005434
C0020625,
C0241961,MONDO_0004555
C0007112,MONDO_0005082
C0577708,
C1960396,
C0153290,
C0009324,MONDO_0005101
C0151686,
C0011860,MONDO_0005148
C0409818,MONDO_0011776
C0542269,
C0149516,MONDO_0006031
C0079774,MONDO_0019476
C0029882,MONDO_0005441
C0041912,
C0004771,MONDO_0005664
C0009769,MONDO_0002308
C0155860,
C0012739,MONDO_0001243
C0019212,MONDO_0001382
C0040553,MONDO_0005988
C0040954,
C0520577,
C0001973,MONDO_0007079
C0275794,
C0339933,
C2316212,MONDO_0016168
C0008307,
C0235480,MONDO_1030011
C2711256,
C0029401,MONDO_0005382
C0023443,MONDO_0018935
C0153252,MONDO_0042233
C0008582,MONDO_0015908
C0037036,
C0152936,MONDO_0005956
C0024138,
C0849907,
C0013882,MONDO_0005424
C4545381,MONDO_0015689
C0232058,
C0153196,MONDO_0004264
C0155626,MONDO_0004781
C0007347,
C0008526,MONDO_0001280
C0011615,MONDO_0004980
C0041976,MONDO_0005297
C1692886,MONDO_0004471
C0948896,
C0037769,MONDO_0018097
C0220987,MONDO_0009797
C0024031,
C0349774,
C0158996,MONDO_0001239
C0085580,MONDO_0001134
C0040053,MONDO_0000831
C0085681,MONDO_0000328
C0018081,MONDO_0004277
C0152020,MONDO_0006769
C0017168,MONDO_0007186
C0581392,
C0038395,MONDO_0021680
C0011991,
C0012734,MONDO_0800106
C1532338,
C0242422,MONDO_0021095
C0276075,MONDO_0040732
C0026896,MONDO_0009688
C0812413,MONDO_0005112
C0019243,MONDO_0019623
C0153227,
C0015503,MONDO_0002244
C0022548,MONDO_0005348
C0003850,MONDO_0002277
C0524910,
C1541923,MONDO_0000565
C3495559,MONDO_0011429
C0151467,MONDO_0019801
C1720505,
C0153188,MONDO_0004497
C0270327,MONDO_0000022
C0041234,MONDO_0001444
C0031069,MONDO_0018088
C0023860,MONDO_0005828
C0036262,MONDO_0004525
C0023281,MONDO_0011989
C0158266,MONDO_0011385
C3854116,
C0162533,MONDO_0002520
C0220989,MONDO_0012104
C0018190,MONDO_0005777
C0024141,MONDO_0007915
C1704436,MONDO_0005386
C0346993,
C0014869,MONDO_0006896
C3698411,
C0040560,MONDO_0005715
C0152946,
C0155880,MONDO_0004765
C1704431,
C0276077,
C0267390,MONDO_0007005
C0339170,
C0338437,
C0001264,MONDO_0005699
C0025289,MONDO_0021108
C0027873,MONDO_0019100
C0412293,
C0043208,MONDO_0019148
C3163899,
C0270846,
C4521004,MONDO_0018456
C0340354,
C0020594,MONDO_0001821
C0086227,MONDO_0005746
C0024117,MONDO_0005002
C0376358,MONDO_0008315
C0149615,
C0041341,MONDO_0001734
C0026998,MONDO_0005224
C0006848,
C0577690,
C4518436,
C0006057,MONDO_0005498
C0028734,
C0263313,MONDO_0019324
C0035335,MONDO_0008380
C0276064,
C0036992,MONDO_0015183
C0042842,MONDO_0007016
C1800706,MONDO_0800504
C0235063,
C3838845,
C0677607,MONDO_0007699
C1276801,MONDO_0006752
C0152965,
C4302554,
C0037195,
C0023786,MONDO_0001586
C0035439,MONDO_0006955
C0014733,MONDO_0001266
C0003492,MONDO_0007345
C1720538,
C0700359,
C0154640,
C0024790,MONDO_0100244
C0700345,MONDO_0006014
C0039239,
C0022972,MONDO_0018556
C0334621,
C0007820,MONDO_0011057
C0276688,
C0021092,
C0221023,MONDO_0008090
C0028840,MONDO_0006875
C4721209,
C0746883,
C0400877,
C0029291,MONDO_0005888
C0346619,MONDO_0850129
C0023381,MONDO_0009519
C0730274,
C0040028,MONDO_0005029
C1541061,
C0234974,
C0040259,MONDO_0005984
C0202691,
C0423806,
C0039133,MONDO_0005822
C0854328,MONDO_0024389
C0010043,MONDO_0004577
C0033775,
C0276648,MONDO_0042433
C0392164,
C0267436,MONDO_0045030
C0206245,MONDO_0007100
C1962945,
C0037383,
C0005138,
C0221013,MONDO_0016586
C0014553,
C0035412,MONDO_0005212
C4038730,
C0151721,MONDO_0009421
C0238452,
C0524909,MONDO_0005366
C0272373,
C0013390,MONDO_1060205
C1827301,MONDO_0100482
C0338873,
C0343401,MONDO_0100073
C0917796,MONDO_0010788
C0280324,MONDO_0005595
C0030848,MONDO_0008231
C0035468,MONDO_0005945
C5438408,
C1997351,
C0027708,MONDO_0006058
C0023885,
C1868889,
C0025319,
C1960397,
C0033975,MONDO_0005485
C0275842,MONDO_0040922
C0002874,MONDO_0015909
C0686347,MONDO_0010096
C0003950,MONDO_0005654
C0751339,
C0085682,MONDO_0000313
C0020474,MONDO_0007759
C1561828,
C0035220,MONDO_0100077
C0002963,MONDO_0006021
C0149526,MONDO_0006526
C1960644,
C0023241,MONDO_0005824
C0023817,MONDO_0009387
C0079744,MONDO_0018905
C0008354,MONDO_0015766
C0002440,
C0033893,
C2711653,
C0016412,
C0030319,MONDO_0005383
C0276725,MONDO_0042484
C4708071,
C1997728,
C0004352,MONDO_0005260
C0026769,MONDO_0005301
C0270838,
C3161650,
C0021342,
C0025293,MONDO_0006836
C1274988,
C0023461,MONDO_0020334
C0202986,
C0030528,MONDO_0018626
C0020615,MONDO_0004946
C0854802,
C0751964,MONDO_0000451
C0003177,MONDO_0004215
C2931187,MONDO_0100151
C0392171,
C0334633,MONDO_0000432
C0751965,MONDO_0000450
C0236780,
C0005587,MONDO_0024613
C0729587,
C0271083,MONDO_0100114
C0275979,MONDO_0040728
C0008312,MONDO_0005388
C0035344,MONDO_0006952
C0017609,MONDO_0019783
C0520775,
C0747102,
C0342826,
C0086651,MONDO_0009659
C0018621,MONDO_0005324
C0023283,MONDO_0005446
C0005716,MONDO_0005672
C0004604,
C0271606,
C0002994,MONDO_0010481
C0027145,MONDO_0009718
C0008049,MONDO_0005700
C0242362,
C1274355,
C5688196,
C0341823,MONDO_0002229
C0013238,MONDO_0006733
C1274323,
C0002965,MONDO_0006805
C0276535,
C0028326,MONDO_0018997
C0024286,MONDO_0005834
C0206247,
C0006060,MONDO_0024472
C0035793,MONDO_0019359
C0235267,
C0014121,MONDO_0006669
C0472713,
C2887097,
C0406486,
C1275687,
C0546837,MONDO_0007576
C0342907,MONDO_0008863
C0268381,MONDO_0019438
C0014347,
C0041321,MONDO_0005848
C0149966,
C0152253,
C3203547,
C0271578,
C0002888,MONDO_0001700
C0349464,MONDO_0010198
C0554628,
C0029076,MONDO_0004854
C0037299,
C4087506,
C0238217,
C1318559,
C0039240,
C0027773,
C0034186,MONDO_0006939
C0040034,MONDO_0002049
C0155862,MONDO_0005972
C0740394,
C1561643,MONDO_0005300
C1272826,
C0549398,
C0024623,MONDO_0001056
C0275550,
C0334663,MONDO_0019479
C0343065,
C0007847,
C0949083,
C0917798,MONDO_0005299
C0003515,
C0242739,
C0268634,MONDO_0037858
C1278807,
C5394854,
C0024748,MONDO_0009561
C0267176,
C0020557,
C0002171,MONDO_0005340
C0003615,MONDO_0005649
C1260880,
C0024588,MONDO_0001133
C3890205,MONDO_0019432
C0042029,MONDO_0100338
C5190725,
C0035372,MONDO_0010726
C3543433,
C0729586,
C0042847,MONDO_0020696
C0243002,MONDO_0011514
C2584877,
C0341950,MONDO_0001641
C0034013,MONDO_0000088
C0017574,MONDO_0002508
C0013369,MONDO_0001517
C2316304,
C0151482,MONDO_0001860
C0010691,MONDO_0009067
C0403643,
C0199008,
C0343386,
C0026603,MONDO_0008015
C0079773,MONDO_0015758
C0002962,
C2721580,
C1306632,
C0027819,MONDO_0005072
C0038463,MONDO_0005974
C0025218,
C0038160,MONDO_0024313
C0238461,MONDO_0006468
C0042024,
C0024586,MONDO_0100347
C0023473,
C0002928,
C0741292,
C0035460,MONDO_0006004
C0035457,MONDO_0024332
C0155804,MONDO_0002186
C0278140,
C3840002,
C4707060,
C2239176,MONDO_0007256
C0036117,MONDO_0000827
C0404585,
C0027927,MONDO_0004944
C0023440,MONDO_0017858
C0430471,
C0011881,MONDO_0005016
C0153195,MONDO_0001080
C0005283,MONDO_0019402
C0272322,MONDO_0015719
C0343861,
C0238298,MONDO_1010100
C0152068,MONDO_0044346
C4708167,
C4302369,
C0006181,MONDO_0005680
C0006114,MONDO_0006684
C0010417,MONDO_0009047
C0152973,
C4528668,
C0277528,
C0497327,MONDO_0001627
C0206062,
C0003868,
C5394779,
C0040558,MONDO_0005989
C0002066,MONDO_0008753
C1301363,MONDO_0019467
C0002170,MONDO_0004907
C0022577,MONDO_0019085
C0026986,
C0011606,MONDO_0043233
C0026838,
C2267231,
C0242350,MONDO_0005362
C0026836,
C1135868,MONDO_0018944
C0017531,MONDO_0015564
C0023434,MONDO_0004948
C0343730,
C0276089,
C0340968,MONDO_0009950
C1271701,
C0031036,MONDO_0019170
C0231528,
C0585966,
C0553580,MONDO_0012817
C0020461,
C2349994,MONDO_0000242
C0007115,MONDO_0002108
C0029106,MONDO_0005884
C0020709,
C0241910,
C1720135,
C0349790,MONDO_0850283
C1563054,
C0016053,MONDO_0005546
C0013516,
C0275761,
C1719939,
C5192106,
C0268164,MONDO_0009823
C0019880,MONDO_0004737
C0014488,MONDO_0001875
C2267227,MONDO_0005452
C0019655,MONDO_0018312
C0038358,MONDO_0001126
C0412842,
C0009768,MONDO_0006668
C0017205,MONDO_0018150
C0456103,MONDO_0700217
C0162352,
C3163805,
C0001957,MONDO_0006642
C2973725,MONDO_0015924
C0009088,MONDO_0043537
C0028768,MONDO_0008114
C1112209,
C0855112,MONDO_0000901
C0027404,MONDO_0021107
C0553656,
C0032797,
C1142423,
C0030446,MONDO_0004568
C0008513,MONDO_0004674
C1140680,MONDO_0008170
C0600040,
C0153425,MONDO_0000956
C0041472,MONDO_0000330
C0158371,
C1273489,MONDO_0956979
C0032743,
C0153027,
C0035021,MONDO_0019633
C0476089,MONDO_0002447
C0854211,
C0203713,
C0205944,MONDO_0017387
C0580183,
C0242383,MONDO_0005150
C3805232,
C0338480,MONDO_0100431
C0271429,
C0023052,
C0862889,
C0338395,MONDO_0006753
C4708088,
C0022104,MONDO_0005052
C0026961,
C0282687,MONDO_0005737
C0030807,MONDO_0006594
C0019147,MONDO_0001548
C0014544,MONDO_0005027
C0036421,MONDO_0005100
C0157749,
C0085404,MONDO_0017364
C0564750,
C0524688,MONDO_0001024
C0036341,MONDO_0005090
C0558595,
C0023290,MONDO_0005445
C0008311,MONDO_0004789
C0596170,MONDO_0005582
C0010200,
C0006434,
C0151636,
C0039103,MONDO_0002400
C0021400,MONDO_0005812
C0009766,MONDO_0005642
C0004153,MONDO_0005311
C0263353,MONDO_0026045
C0264716,
C5567802,
C0204837,
C0021355,
